OBJECTID,SPECIES_CO,SPECIES_BO,WATERGAS,GSLENGTH,GSWIDTH,ADDRESS,STREET,SUFFIX,SIDE,SITE,ONSTR,FROMSTR,TOSTR,X,Y,LATITUDE,LONGITUDE,GlobalID,SiteUsage,Quadrant,MgmtDesignation,x2,y2
3877,"Maple, Norway",Acer platanoides,No,0,0,26,HERSHEY AVE, ,Front,0,HERSHEY AVE, , ,2368128.235,256626.6606,40.02893392,-76.32290278,8885b7c4-a859-43da-9439-faf3438d0a57,Tree,SWQ,Street,-76.32290278,40.02893391
4873,Stump,Stump,No,20,6,525,FAIRVIEW AVE, ,Side,0,WABANK ST, , ,2371267.909,256411.0835,40.02820239,-76.31170532,baef519e-f746-4a06-97e7-6a2ad723fa82,Stump,SWQ,Street,-76.31170532,40.02820239
7080,"Maple, Red",Acer rubrum,No,0,0,670,LAFAYETTE ST, ,Front,0,LAFAYETTE ST, , ,2369903.22,258027.9372,40.03270117,-76.31648409,0e832f1f-52fe-4c31-acb0-da45e8f7ff55,Tree,SWQ,Street,-76.31648409,40.03270117
11371,"Oak, Northern Red",Quercus rubra,No,0,0,1401,HARRISBURG PIKE, ,Side,0,KILLDEER RD, , ,2365343.8,269414.9202,40.06415773,-76.3321113,0cfa12f0-6352-4cc4-b269-5a7a5b3f887c,Tree,NWA,Park,-76.3321113,40.06415773
11537,"Planetree, London",Platanus hybrida,No,0,0,1401,HARRISBURG PIKE, ,Side,0,CHICKADEE RD, , ,2365751.288,268907.025,40.06274572,-76.33068479,23a342e8-a12e-4a58-a136-4da3ea0ebf47,Tree,NWA,Park,-76.33068479,40.06274572
9238,"Oak, Northern Red",Quercus rubra,No,0,0,1000,NEW HOLLAND AVE, ,Front,0,NEW HOLLAND AVE, , ,2379338.795,266947.5818,40.05675788,-76.28226394,d2e4b816-72a1-43d2-97e6-ca235eced731,Tree,NEA,Street,-76.28226394,40.05675788
9072,"Walnut, Black",Juglans nigra,No,0,0,1000,NEW HOLLAND AVE, ,Side,0,PLEASURE RD, , ,2379944.442,267172.0368,40.0573463,-76.2800873,f8c43134-c589-48ea-83c6-d7517ec4ce4d,Tree,NEA,Street,-76.2800873,40.05734629
11869,"Maple, Silver",Acer saccharinum,No,0,0,1401,HARRISBURG PIKE, ,Side,0,WARBLER RD, , ,2365395.524,268384.7688,40.06132794,-76.33198562,1c41ccbb-3ad7-4627-b888-01171d3d4219,Tree,NWA,Park,-76.33198562,40.06132794
10873,Goldenrain Tree,Koelreuteria paniculata,No,0,0,1401,HARRISBURG PIKE, ,Front,0,HARRISBURG PIKE, , ,2364315.998,268299.5492,40.06114155,-76.33584673,9875ad4f-f375-48ac-bfd4-7dc63b1d3036,Tree,NWA,Park,-76.33584673,40.06114155
12367,"Oak, Bur",Quercus macrocarpa,No,0,0,1401,HARRISBURG PIKE, ,Side,0,GOLDFINCH RD, , ,2365216.475,269093.9412,40.06328233,-76.33258455,9fc73501-b06b-450c-bc5a-460bbb6360af,Tree,NWA,Park,-76.33258455,40.06328233
12035,"Maple, Red",Acer rubrum,No,0,0,1401,HARRISBURG PIKE, ,Side,0,CHICKADEE RD, , ,2365485.572,269358.3582,40.06399624,-76.33160809,748ec4ad-b073-47db-aa70-43b5e84004f3,Tree,NWA,Park,-76.33160809,40.06399624
